epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,learning_rate
1,5.975479241133583,0.033837665143233144,4.939790122039483,0.09122,0.01
2,4.6359531155097065,0.13215818868642507,4.280339431274882,0.17164,0.01
3,4.235276607424399,0.1828072665004499,4.060129927857147,0.20264,0.01
4,4.049226250205773,0.20821464953761876,3.906187881899002,0.2249,0.01
5,3.9397413667720445,0.22419762090684595,3.805168662229767,0.24186,0.01
6,3.8693836005311035,0.23473586992282416,3.756227669508561,0.25352,0.01
7,3.820683622239266,0.24117313630435902,3.7265181315829383,0.25538,0.01
8,3.7806113206572123,0.2479615983764136,3.7091730647074903,0.25614,0.01
9,3.75175386481573,0.25211807468655983,3.739022389702175,0.26076,0.01
10,3.7284347793766837,0.2557196142396772,3.720014716658141,0.25672,0.01
11,3.7057079939114024,0.2585537555345032,3.6662503130295696,0.26518,0.01
12,3.6880795581881496,0.2612277579365866,3.648480721446864,0.27024,0.01
13,3.674049631440053,0.2633190767437897,3.6486321916360684,0.27,0.01
14,3.662119603798149,0.2657053047990138,3.6629431168441577,0.26916,0.01
15,3.6519715402284776,0.26687384305595746,3.6312530046838627,0.27038,0.01
16,3.6416369169149103,0.2685537158961634,3.6354617487134226,0.27,0.01
17,3.6303869107844924,0.2700084429663748,3.564947833795377,0.28392,0.01
18,3.6232837558941813,0.27112465861479856,3.594116230450018,0.2797,0.01
19,3.617475559915884,0.27210214007396516,3.5530077618406253,0.28574,0.01s
20,3.6113222707412618,0.2729678414149302,3.580783009833997,0.27978,0.01
21,3.6056600389959605,0.2737233481712852,3.5912005004980374,0.28012,0.01
22,3.600240396473506,0.2747040006976348,3.556302399891417,0.28306,0.01
23,3.597250606274617,0.27528430599212783,3.6378272884642073,0.27384,0.01
24,3.5922512379592595,0.27668829598741085,3.574621424345714,0.28208,0.01
25,3.5887894670833855,0.2763838735378407,3.5604034555537623,0.28546,0.01
26,3.5827348950549105,0.27758887906738916,3.580912953447503,0.28306,0.01
27,3.5797094183243936,0.27756351052992495,3.5757866094789237,0.28542,0.01
28,3.5788174511151287,0.27789726535093806,3.5854622433557535,0.28306,0.001
29,2.8914696518265615,0.38732841553664366,2.8987516753204035,0.39244,0.001
30,2.6882063429105227,0.42123108755712874,2.817167360154564,0.40802,0.001
31,2.5793208096125353,0.43936166417605765,2.76468923207744,0.4166,0.001
32,2.4990948959633155,0.45235907579246953,2.742137158313371,0.41922,0.001
33,2.4352050862053454,0.4625056980113445,2.7078686967835095,0.42602,0.001
34,2.3788736433743343,0.4714528640682414,2.685863814695412,0.42956,0.001
35,2.330935809915892,0.47940510779646506,2.669855764759776,0.43326,0.001
36,2.290106236057678,0.48596446026454626,2.6691504372355275,0.4345,0.001
37,2.2501766030646895,0.4920965114297153,2.6877365722070876,0.43168,0.001
38,2.2156836128912256,0.4971599129542058,2.658971392590067,0.4374,0.001
39,2.1840414695846193,0.5022962490239059,2.669551617044317,0.43658,0.001
40,2.152844686256575,0.5070290667945664,2.6700601565563464,0.4365,0.001
41,2.1282371742116926,0.5107844031060603,2.676798890618717,0.43504,0.001
42,2.1024443956028684,0.5155830205207685,2.680579039141955,0.43606,0.001
43,2.0781680194936025,0.5190077730784324,2.682550797377096,0.43718,0.001
44,2.0567329712533393,0.5222850710120858,2.7018313944492194,0.43578,0.001
45,2.035956581457807,0.5254014372862007,2.716692896450267,0.4338,0.001
46,2.017598669097122,0.5280698903207138,2.7191342560531537,0.43274,0.0001
47,1.7105309711259855,0.5913834176969331,2.615675367967552,0.46136,0.0001
48,1.6522992708488262,0.6034255453244596,2.6111343888675465,0.46246,0.0001
49,1.626774616969654,0.6087838560969713,2.616691447279947,0.4629,0.0001
50,1.6064456328228003,0.611943031778057,2.628452589444797,0.46372,0.0001
51,1.5898369409419872,0.6156175058763839,2.633805291731949,0.46284,0.0001
52,1.5716905712899916,0.618937613217008,2.634927275845462,0.46452,0.0001
53,1.5597597773398075,0.6207546347128797,2.630570309851176,0.4631,0.0001
54,1.5454731744294963,0.623496815059398,2.64554102707397,0.46324,0.0001
55,1.533375251317375,0.6257308318898371,2.6551121037329555,0.46274,0.0001
56,1.5205717398393341,0.6278094664283081,2.651746263589396,0.46346,0.0001
57,1.509421711364777,0.6300973914008585,2.6630785684756306,0.46258,0.0001
58,1.4991241712850825,0.6324051355433029,2.6724454880980275,0.46326,0.0001
59,1.4873395346313005,0.6338130893725648,2.671405220885411,0.46188,0.0001
60,1.4764621451867528,0.6360875373095873,2.6778033108967345,0.46256,0.0001
61,1.464810888982557,0.6377666173829976,2.688570022583008,0.46196,1e-05
62,1.4140331821415038,0.6499007059588316,2.681500182432287,0.46536,1e-05
63,1.4077139132945806,0.6501409142979455,2.68442604425923,0.46524,1e-05
64,1.4040138104190565,0.6513015248869316,2.686394628356485,0.46382,1e-05
65,1.4008639831400231,0.6515615523959395,2.6903403223018207,0.46432,1e-05
66,1.4014876546259762,0.6516550988778386,2.687618496777761,0.46294,1e-05
67,1.3986342917354744,0.6525762938945066,2.6836920595534925,0.46518,1e-05
68,1.396301816218641,0.6531439149202675,2.6958392968263163,0.46382,1e-05
